timestamp,anchor_id,true_distance,measured_distance,dir_x,dir_y,dir_z
2026-05-16T12:12:22.215Z,3,5.000,5.0917,,,
2026-05-16T12:12:22.376Z,3,5.000,5.0824,,,
2026-05-16T12:12:22.557Z,3,5.000,5.0728,,,
2026-05-16T12:12:22.702Z,3,5.000,5.0542,,,
2026-05-16T12:12:22.865Z,3,5.000,5.0965,,,
2026-05-16T12:12:23.024Z,3,5.000,5.0590,,,
2026-05-16T12:12:23.186Z,3,5.000,5.0494,,,
2026-05-16T12:12:23.363Z,3,5.000,5.0590,,,
2026-05-16T12:12:23.511Z,3,5.000,5.0542,,,
2026-05-16T12:12:23.672Z,3,5.000,5.0542,,,
2026-05-16T12:12:23.835Z,3,5.000,5.0824,,,
2026-05-16T12:12:23.997Z,3,5.000,5.0401,,,
2026-05-16T12:12:24.163Z,3,5.000,5.0635,,,
2026-05-16T12:12:24.321Z,3,5.000,5.0824,,,
2026-05-16T12:12:24.483Z,3,5.000,5.0449,,,
2026-05-16T12:12:24.663Z,3,5.000,5.0590,,,
2026-05-16T12:12:24.808Z,3,5.000,5.0494,,,
2026-05-16T12:12:24.970Z,3,5.000,5.0683,,,
2026-05-16T12:12:25.131Z,3,5.000,5.0869,,,
2026-05-16T12:12:25.292Z,3,5.000,5.0728,,,
2026-05-16T12:12:25.462Z,3,5.000,5.0683,,,
2026-05-16T12:12:25.617Z,3,5.000,5.0590,,,
2026-05-16T12:12:25.778Z,3,5.000,5.1010,,,
2026-05-16T12:12:25.963Z,3,5.000,5.0965,,,
2026-05-16T12:12:26.105Z,3,5.000,5.0824,,,
2026-05-16T12:12:26.265Z,3,5.000,5.0728,,,
2026-05-16T12:12:26.427Z,3,5.000,5.0776,,,
2026-05-16T12:12:26.588Z,3,5.000,5.0683,,,
2026-05-16T12:12:26.764Z,3,5.000,5.0635,,,
2026-05-16T12:12:26.912Z,3,5.000,5.1010,,,
2026-05-16T12:12:27.074Z,3,5.000,5.0824,,,
2026-05-16T12:12:27.263Z,3,5.000,5.0824,,,
2026-05-16T12:12:27.400Z,3,5.000,5.0494,,,
2026-05-16T12:12:27.563Z,3,5.000,5.0869,,,
2026-05-16T12:12:27.722Z,3,5.000,5.0824,,,
2026-05-16T12:12:27.884Z,3,5.000,5.0917,,,
2026-05-16T12:12:28.063Z,3,5.000,5.0683,,,
2026-05-16T12:12:28.208Z,3,5.000,5.1199,,,
2026-05-16T12:12:28.372Z,3,5.000,5.0965,,,
2026-05-16T12:12:28.533Z,3,5.000,5.1010,,,
2026-05-16T12:12:28.696Z,3,5.000,5.1010,,,
2026-05-16T12:12:28.864Z,3,5.000,5.0728,,,
2026-05-16T12:12:29.019Z,3,5.000,5.0824,,,
2026-05-16T12:12:29.181Z,3,5.000,5.0869,,,
2026-05-16T12:12:29.364Z,3,5.000,5.1103,,,
2026-05-16T12:12:29.506Z,3,5.000,5.0590,,,
2026-05-16T12:12:29.666Z,3,5.000,5.0869,,,
2026-05-16T12:12:29.829Z,3,5.000,5.1199,,,
2026-05-16T12:12:29.991Z,3,5.000,5.0917,,,
2026-05-16T12:12:30.164Z,3,5.000,5.0728,,,
2026-05-16T12:12:30.315Z,3,5.000,5.0776,,,
2026-05-16T12:12:30.476Z,3,5.000,5.1103,,,
2026-05-16T12:12:30.662Z,3,5.000,5.0965,,,
2026-05-16T12:12:30.800Z,3,5.000,5.0965,,,
2026-05-16T12:12:30.964Z,3,5.000,5.0869,,,
2026-05-16T12:12:31.125Z,3,5.000,5.1010,,,
2026-05-16T12:12:31.287Z,3,5.000,5.0917,,,
2026-05-16T12:12:31.464Z,3,5.000,5.1058,,,
2026-05-16T12:12:31.610Z,3,5.000,5.1010,,,
2026-05-16T12:12:31.774Z,3,5.000,5.0824,,,
