timestamp,anchor_id,true_distance,measured_distance,dir_x,dir_y,dir_z
2026-05-16T12:10:15.532Z,3,2.000,2.0188,,,
2026-05-16T12:10:15.694Z,3,2.000,2.0140,,,
2026-05-16T12:10:15.865Z,3,2.000,2.0047,,,
2026-05-16T12:10:16.017Z,3,2.000,2.0188,,,
2026-05-16T12:10:16.180Z,3,2.000,2.0236,,,
2026-05-16T12:10:16.366Z,3,2.000,2.0236,,,
2026-05-16T12:10:16.503Z,3,2.000,2.0236,,,
2026-05-16T12:10:16.668Z,3,2.000,2.0329,,,
2026-05-16T12:10:16.827Z,3,2.000,2.0329,,,
2026-05-16T12:10:16.989Z,3,2.000,2.0188,,,
2026-05-16T12:10:17.167Z,3,2.000,2.0236,,,
2026-05-16T12:10:17.313Z,3,2.000,2.0140,,,
2026-05-16T12:10:17.477Z,3,2.000,2.0236,,,
2026-05-16T12:10:17.665Z,3,2.000,2.0047,,,
2026-05-16T12:10:17.800Z,3,2.000,2.0422,,,
2026-05-16T12:10:17.967Z,3,2.000,2.0188,,,
2026-05-16T12:10:18.124Z,3,2.000,2.0329,,,
2026-05-16T12:10:18.285Z,3,2.000,2.0422,,,
2026-05-16T12:10:18.467Z,3,2.000,2.0374,,,
2026-05-16T12:10:18.609Z,3,2.000,2.0188,,,
2026-05-16T12:10:18.771Z,3,2.000,2.0236,,,
2026-05-16T12:10:18.934Z,3,2.000,2.0329,,,
2026-05-16T12:10:19.095Z,3,2.000,2.0374,,,
2026-05-16T12:10:19.264Z,3,2.000,2.0470,,,
2026-05-16T12:10:19.419Z,3,2.000,2.0329,,,
2026-05-16T12:10:19.581Z,3,2.000,2.0329,,,
2026-05-16T12:10:19.766Z,3,2.000,2.0374,,,
2026-05-16T12:10:19.905Z,3,2.000,2.0563,,,
2026-05-16T12:10:20.067Z,3,2.000,2.0470,,,
2026-05-16T12:10:20.229Z,3,2.000,2.0515,,,
2026-05-16T12:10:20.391Z,3,2.000,2.0281,,,
2026-05-16T12:10:20.563Z,3,2.000,2.0374,,,
2026-05-16T12:10:20.715Z,3,2.000,2.0563,,,
2026-05-16T12:10:20.877Z,3,2.000,2.0563,,,
2026-05-16T12:10:21.063Z,3,2.000,2.0329,,,
2026-05-16T12:10:21.202Z,3,2.000,2.0422,,,
2026-05-16T12:10:21.364Z,3,2.000,2.0563,,,
2026-05-16T12:10:21.525Z,3,2.000,2.0515,,,
2026-05-16T12:10:21.687Z,3,2.000,2.0236,,,
2026-05-16T12:10:21.867Z,3,2.000,2.0563,,,
2026-05-16T12:10:22.011Z,3,2.000,2.0281,,,
2026-05-16T12:10:22.173Z,3,2.000,2.0656,,,
2026-05-16T12:10:22.336Z,3,2.000,2.0329,,,
2026-05-16T12:10:22.497Z,3,2.000,2.0329,,,
2026-05-16T12:10:22.664Z,3,2.000,2.0188,,,
2026-05-16T12:10:22.821Z,3,2.000,2.0563,,,
2026-05-16T12:10:22.983Z,3,2.000,2.0281,,,
2026-05-16T12:10:23.164Z,3,2.000,2.0236,,,
2026-05-16T12:10:23.310Z,3,2.000,2.0470,,,
2026-05-16T12:10:23.470Z,3,2.000,2.0329,,,
2026-05-16T12:10:23.631Z,3,2.000,2.0470,,,
2026-05-16T12:10:23.793Z,3,2.000,2.0422,,,
2026-05-16T12:10:23.963Z,3,2.000,2.0422,,,
2026-05-16T12:10:24.117Z,3,2.000,2.0329,,,
2026-05-16T12:10:24.279Z,3,2.000,2.0470,,,
2026-05-16T12:10:24.463Z,3,2.000,2.0422,,,
2026-05-16T12:10:24.604Z,3,2.000,2.0281,,,
2026-05-16T12:10:24.765Z,3,2.000,2.0329,,,
2026-05-16T12:10:24.927Z,3,2.000,2.0515,,,
2026-05-16T12:10:25.089Z,3,2.000,2.0422,,,
