timestamp,true_x,true_y,computed_x,computed_y,filtered_x,filtered_y,hdop,d1,d2,d3
2026-06-01T16:42:47.001Z,1.58,1.82,1.5576440950368085,1.790936703745652,1.5576440950368085,1.790936703745652,1.271,2.67,2.506,2.3045
2026-06-01T16:42:47.101Z,1.58,1.82,1.560825733678505,1.800309690801715,1.5592349143576567,1.7956231972736836,1.27,2.6607,2.5153,2.3045
2026-06-01T16:42:47.201Z,1.58,1.82,1.560825733678505,1.800309690801715,1.5597651874646061,1.7971853617830273,1.27,2.6607,2.5153,2.3045
2026-06-01T16:42:47.301Z,1.58,1.82,1.5616496033694693,1.7972964582558046,1.5602362914408219,1.7972131359012216,1.268,2.6607,2.5108,2.2997
2026-06-01T16:42:47.400Z,1.58,1.82,1.5504436947051206,1.8056839227408785,1.5582777720936816,1.7989072932691528,1.272,2.6607,2.5153,2.3186
2026-06-01T16:42:47.501Z,1.58,1.82,1.5456286746824695,1.819655374282016,1.5558746880228138,1.8046510273764258,1.267,2.6418,2.5153,2.3186
2026-06-01T16:42:47.601Z,1.58,1.82,1.5592825178181378,1.795776296658846,1.5555660448507402,1.803744348547852,1.27,2.6652,2.5108,2.3045
2026-06-01T16:42:47.701Z,1.58,1.82,1.5557558808146588,1.7976018499312352,1.5545520742779713,1.8032027803737563,1.271,2.6652,2.5108,2.3093
2026-06-01T16:42:47.801Z,1.58,1.82,1.5452763394506916,1.808841174872583,1.5512774214942158,1.8055117236971117,1.264,2.6466,2.5012,2.3093
2026-06-01T16:42:47.901Z,1.58,1.82,1.5524508553717336,1.794169063101691,1.5516788536275383,1.8032087517692745,1.263,2.6559,2.4919,2.2952
2026-06-01T16:42:48.000Z,1.58,1.82,1.5524508553717336,1.794169063101691,1.5530432897653912,1.798111489533209,1.263,2.6559,2.4919,2.2952
2026-06-01T16:42:48.101Z,1.58,1.82,1.56084597153143,1.7978817547366717,1.5533559805080495,1.7985325811487745,1.266,2.6559,2.506,2.2952
2026-06-01T16:42:48.200Z,1.58,1.82,1.5548025698972576,1.811711887347302,1.5531653183245693,1.801354588631988,1.272,2.6559,2.5246,2.3186
2026-06-01T16:42:48.301Z,1.58,1.82,1.5607760312919667,1.794379056742982,1.5562652566928246,1.7984621650060675,1.278,2.6792,2.5246,2.3186
2026-06-01T16:42:48.401Z,1.58,1.82,1.5655755407248608,1.792510250683602,1.55889019376345,1.7981304025224496,1.266,2.6607,2.506,2.2904
2026-06-01T16:42:48.504Z,1.58,1.82,1.5552618572647845,1.7978490985923472,1.55945239414206,1.7988664096205809,1.268,2.6607,2.506,2.3045
2026-06-01T16:42:48.601Z,1.58,1.82,1.5564134870277484,1.794507484362107,1.5585658972413234,1.798191555545668,1.269,2.6652,2.506,2.3045
2026-06-01T16:42:48.703Z,1.58,1.82,1.5579825884394471,1.7966154401019334,1.5592019009497615,1.795172266096594,1.265,2.6559,2.5012,2.2952
